gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,InternetService,MonthlyCharges,Churn,gender_encoded,Dependents_encoded,PhoneService_encoded,MultipleLines_encoded,InternetService_encoded,Churn_encoded,Contract_Month-to-month,Contract_One_year,Contract_Two_year
Female,0,No,1,No,No,DSL,25,Yes,0,0,0,0,0,1,True,False,False
Male,0,No,41,Yes,No,DSL,25,No,1,0,1,0,0,0,False,True,False
Female,0,Yes,52,Yes,No,DSL,19,No,0,1,1,0,0,0,True,False,False
Female,0,No,1,Yes,No,DSL,76,Yes,0,0,1,0,0,1,False,True,False
Male,0,No,67,Yes,No,Fiber optic,51,No,1,0,1,0,1,0,True,False,False
Female,1,No,68,Yes,Yes,Fiber optic,90,Yes,0,0,1,1,1,1,True,False,False
Female,0,Yes,23,Yes,Yes,Fiber optic,77,No,0,1,1,1,1,0,True,False,False
Male,0,Yes,72,Yes,No,DSL,72,No,1,1,1,0,0,0,True,False,False
Male,0,No,70,Yes,Yes,Fiber optic,104,Yes,1,0,1,1,1,1,True,False,False
Male,0,No,1,Yes,No,DSL,19,Yes,1,0,1,0,0,1,False,True,False
Male,0,No,1,Yes,No,DSL,20,No,1,0,1,0,0,0,True,False,False
Male,0,Yes,34,Yes,No,DSL,84,No,1,1,1,0,0,0,False,False,True
Male,1,Yes,28,Yes,Yes,Fiber optic,51,No,1,1,1,1,1,0,False,True,False
Female,1,No,18,Yes,Yes,Fiber optic,85,Yes,0,0,1,1,1,1,True,False,False
Female,0,No,15,Yes,No,Fiber optic,20,No,0,0,1,0,1,0,True,False,False
Female,1,No,11,Yes,Yes,Fiber optic,95,Yes,0,0,1,1,1,1,False,False,True
Male,0,No,11,Yes,No,DSL,54,Yes,1,0,1,0,0,1,False,True,False
Male,0,Yes,1,Yes,Yes,Fiber optic,70,Yes,1,1,1,1,1,1,False,False,True
Female,0,Yes,37,Yes,No,DSL,89,No,0,1,1,0,0,0,True,False,False
Male,0,Yes,22,Yes,No,Fiber optic,89,Yes,1,1,1,0,1,1,True,False,False
Female,0,No,1,Yes,No,DSL,70,No,0,0,1,0,0,0,True,False,False
Female,0,Yes,1,Yes,No,DSL,19,No,0,1,1,0,0,0,False,True,False
Male,0,Yes,46,Yes,No,DSL,80,No,1,1,1,0,0,0,True,False,False
Female,0,No,51,Yes,Yes,DSL,107,No,0,0,1,1,0,0,False,False,True
Female,0,No,41,Yes,No,DSL,104,No,0,0,1,0,0,0,True,False,False
Female,0,No,5,Yes,No,DSL,68,Yes,0,0,1,0,0,1,True,False,False
Female,0,No,45,Yes,Yes,Fiber optic,89,Yes,0,0,1,1,1,1,True,False,False
Male,0,Yes,29,Yes,No,DSL,60,No,1,1,1,0,0,0,True,False,False
Female,1,No,15,Yes,Yes,DSL,92,No,0,0,1,1,0,0,False,False,True
Male,0,No,72,No,No,DSL,64,No,1,0,0,0,0,0,True,False,False
Male,0,No,50,Yes,Yes,Fiber optic,104,No,1,0,1,1,1,0,False,False,True
Male,0,Yes,27,Yes,No,Fiber optic,21,No,1,1,1,0,1,0,True,False,False
Male,0,No,72,Yes,No,DSL,85,No,1,0,1,0,0,0,False,True,False
Female,0,Yes,51,Yes,No,DSL,70,No,0,1,1,0,0,0,True,False,False
Female,0,No,60,Yes,No,DSL,94,No,0,0,1,0,0,0,True,False,False
Male,0,No,17,Yes,Yes,Fiber optic,19,No,1,0,1,1,1,0,False,False,True
Female,0,No,72,Yes,No,Fiber optic,21,No,0,0,1,0,1,0,True,False,False
Female,0,No,33,Yes,No,Fiber optic,104,Yes,0,0,1,0,1,1,True,False,False
Female,1,Yes,66,Yes,Yes,Fiber optic,105,No,0,1,1,1,1,0,True,False,False
Female,0,Yes,69,Yes,Yes,Fiber optic,104,Yes,0,1,1,1,1,1,True,False,False
Male,0,No,5,Yes,No,DSL,70,Yes,1,0,1,0,0,1,False,True,False
Female,0,No,57,Yes,Yes,DSL,101,No,0,0,1,1,0,0,False,False,True
Female,1,No,8,Yes,No,DSL,76,Yes,0,0,1,0,0,1,False,True,False
Female,0,No,14,Yes,Yes,DSL,51,No,0,0,1,1,0,0,False,False,True
Male,0,No,25,Yes,Yes,DSL,95,Yes,1,0,1,1,0,1,True,False,False
