gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,MonthlyCharges,Churn,gender_encoded,Dependents_encoded,PhoneService_encoded,MultipleLines_encoded,Churn_encoded,InternetService_DSL,InternetService_Fiber optic,Contract_Month-to-month,Contract_One year,Contract_Two year,EstimatedTotalCharges,ContractLengthMonths,ServiceCount,IsNewCustomer,TenureGroup_New (0-12mo),TenureGroup_Established (13-24mo),TenureGroup_Loyal (25-48mo),TenureGroup_Very Loyal (49-72mo)
Female,0,No,1,No,No,25,Yes,0,0,0,0,1,True,False,True,False,False,25,1,1,1,True,False,False,False
Male,0,No,41,Yes,No,25,No,1,0,1,0,0,True,False,False,True,False,1025,12,2,0,False,False,True,False
Female,0,Yes,52,Yes,No,19,No,0,1,1,0,0,True,False,True,False,False,988,1,2,0,False,False,False,True
Female,0,No,1,Yes,No,76,Yes,0,0,1,0,1,True,False,False,True,False,76,12,2,1,True,False,False,False
Male,0,No,67,Yes,No,51,No,1,0,1,0,0,False,True,True,False,False,3417,1,2,0,False,False,False,True
Female,1,No,68,Yes,Yes,90,Yes,0,0,1,1,1,False,True,True,False,False,6120,1,3,0,False,False,False,True
Female,0,Yes,23,Yes,Yes,77,No,0,1,1,1,0,False,True,True,False,False,1771,1,3,0,False,True,False,False
Male,0,Yes,72,Yes,No,72,No,1,1,1,0,0,True,False,True,False,False,5184,1,2,0,False,False,False,True
Male,0,No,70,Yes,Yes,104,Yes,1,0,1,1,1,False,True,True,False,False,7280,1,3,0,False,False,False,True
Male,0,No,1,Yes,No,19,Yes,1,0,1,0,1,True,False,False,True,False,19,12,2,1,True,False,False,False
Male,0,No,1,Yes,No,20,No,1,0,1,0,0,True,False,True,False,False,20,1,2,1,True,False,False,False
Male,0,Yes,34,Yes,No,84,No,1,1,1,0,0,True,False,False,False,True,2856,24,2,0,False,False,True,False
Male,1,Yes,28,Yes,Yes,51,No,1,1,1,1,0,False,True,False,True,False,1428,12,3,0,False,False,True,False
Female,1,No,18,Yes,Yes,85,Yes,0,0,1,1,1,False,True,True,False,False,1530,1,3,0,False,True,False,False
Female,0,No,15,Yes,No,20,No,0,0,1,0,0,False,True,True,False,False,300,1,2,0,False,True,False,False
Female,1,No,11,Yes,Yes,95,Yes,0,0,1,1,1,False,True,False,False,True,1045,24,3,0,True,False,False,False
Male,0,No,11,Yes,No,54,Yes,1,0,1,0,1,True,False,False,True,False,594,12,2,0,True,False,False,False
Male,0,Yes,1,Yes,Yes,70,Yes,1,1,1,1,1,False,True,False,False,True,70,24,3,1,True,False,False,False
Female,0,Yes,37,Yes,No,89,No,0,1,1,0,0,True,False,True,False,False,3293,1,2,0,False,False,True,False
Male,0,Yes,22,Yes,No,89,Yes,1,1,1,0,1,False,True,True,False,False,1958,1,2,0,False,True,False,False
Female,0,No,1,Yes,No,70,No,0,0,1,0,0,True,False,True,False,False,70,1,2,1,True,False,False,False
Female,0,Yes,1,Yes,No,19,No,0,1,1,0,0,True,False,False,True,False,19,12,2,1,True,False,False,False
Male,0,Yes,46,Yes,No,80,No,1,1,1,0,0,True,False,True,False,False,3680,1,2,0,False,False,True,False
Female,0,No,51,Yes,Yes,107,No,0,0,1,1,0,True,False,False,False,True,5457,24,3,0,False,False,False,True
Female,0,No,41,Yes,No,104,No,0,0,1,0,0,True,False,True,False,False,4264,1,2,0,False,False,True,False
Female,0,No,5,Yes,No,68,Yes,0,0,1,0,1,True,False,True,False,False,340,1,2,1,True,False,False,False
Female,0,No,45,Yes,Yes,89,Yes,0,0,1,1,1,False,True,True,False,False,4005,1,3,0,False,False,True,False
Male,0,Yes,29,Yes,No,60,No,1,1,1,0,0,True,False,True,False,False,1740,1,2,0,False,False,True,False
Female,1,No,15,Yes,Yes,92,No,0,0,1,1,0,True,False,False,False,True,1380,24,3,0,False,True,False,False
Male,0,No,72,No,No,64,No,1,0,0,0,0,True,False,True,False,False,4608,1,1,0,False,False,False,True
Male,0,No,50,Yes,Yes,104,No,1,0,1,1,0,False,True,False,False,True,5200,24,3,0,False,False,False,True
Male,0,Yes,27,Yes,No,21,No,1,1,1,0,0,False,True,True,False,False,567,1,2,0,False,False,True,False
Male,0,No,72,Yes,No,85,No,1,0,1,0,0,True,False,False,True,False,6120,12,2,0,False,False,False,True
Female,0,Yes,51,Yes,No,70,No,0,1,1,0,0,True,False,True,False,False,3570,1,2,0,False,False,False,True
Female,0,No,60,Yes,No,94,No,0,0,1,0,0,True,False,True,False,False,5640,1,2,0,False,False,False,True
Male,0,No,17,Yes,Yes,19,No,1,0,1,1,0,False,True,False,False,True,323,24,3,0,False,True,False,False
Female,0,No,72,Yes,No,21,No,0,0,1,0,0,False,True,True,False,False,1512,1,2,0,False,False,False,True
Female,0,No,33,Yes,No,104,Yes,0,0,1,0,1,False,True,True,False,False,3432,1,2,0,False,False,True,False
Female,1,Yes,66,Yes,Yes,105,No,0,1,1,1,0,False,True,True,False,False,6930,1,3,0,False,False,False,True
Female,0,Yes,69,Yes,Yes,104,Yes,0,1,1,1,1,False,True,True,False,False,7176,1,3,0,False,False,False,True
Male,0,No,5,Yes,No,70,Yes,1,0,1,0,1,True,False,False,True,False,350,12,2,1,True,False,False,False
Female,0,No,57,Yes,Yes,101,No,0,0,1,1,0,True,False,False,False,True,5757,24,3,0,False,False,False,True
Female,1,No,8,Yes,No,76,Yes,0,0,1,0,1,True,False,False,True,False,608,12,2,0,True,False,False,False
Female,0,No,14,Yes,Yes,51,No,0,0,1,1,0,True,False,False,False,True,714,24,3,0,False,True,False,False
Male,0,No,25,Yes,Yes,95,Yes,1,0,1,1,1,True,False,True,False,False,2375,1,3,0,False,False,True,False
Female,0,Yes,52,Yes,Yes,20,No,0,1,1,1,0,False,True,True,False,False,1040,1,3,0,False,False,False,True
Female,1,No,7,Yes,No,76,Yes,0,0,1,0,1,True,False,True,False,False,532,1,2,0,True,False,False,False
Male,0,No,13,Yes,No,80,Yes,1,0,1,0,1,False,True,True,False,False,1040,1,2,0,False,True,False,False
Female,1,No,15,Yes,Yes,90,Yes,0,0,1,1,1,True,False,False,False,True,1350,24,3,0,False,True,False,False
Male,0,No,22,Yes,Yes,55,Yes,1,0,1,1,1,True,False,False,False,True,1210,24,3,0,False,True,False,False
Female,0,No,19,Yes,Yes,20,No,0,0,1,1,0,False,True,True,False,False,380,1,3,0,False,True,False,False
Male,0,Yes,23,No,No,30,No,1,1,0,0,0,False,True,True,False,False,690,1,1,0,False,True,False,False
Female,0,No,72,Yes,Yes,114,No,0,0,1,1,0,True,False,True,False,False,8208,1,3,0,False,False,False,True
Male,1,No,72,Yes,Yes,98,No,1,0,1,1,0,False,True,True,False,False,7056,1,3,0,False,False,False,True
