SeniorCitizen,tenure,MonthlyCharges,gender_encoded,Dependents_encoded,PhoneService_encoded,MultipleLines_encoded,Churn_encoded,InternetService_DSL,InternetService_Fiber optic,Contract_Month-to-month,Contract_One year,Contract_Two year,EstimatedTotalCharges,ContractLengthMonths,ServiceCount,IsNewCustomer,TenureGroup_New (0-12mo),TenureGroup_Established (13-24mo),TenureGroup_Loyal (25-48mo),TenureGroup_Very Loyal (49-72mo)
0,56,110,0,1,1,1,0,False,True,True,False,False,6160,1,3,0,False,False,False,True
0,63,59,0,0,1,0,0,True,False,True,False,False,3717,1,2,0,False,False,False,True
0,53,94,0,0,1,0,0,True,False,False,True,False,4982,12,2,0,False,False,False,True
0,72,114,1,1,1,0,0,True,False,True,False,False,8208,1,2,0,False,False,False,True
0,9,76,1,0,1,0,0,True,False,True,False,False,684,1,2,0,True,False,False,False
0,37,70,1,0,1,0,0,False,True,True,False,False,2590,1,2,0,False,False,True,False
0,39,51,0,0,0,0,1,True,False,True,False,False,1989,1,1,0,False,False,True,False
0,71,105,1,1,1,0,0,True,False,False,False,True,7455,24,2,0,False,False,False,True
0,10,40,0,1,0,0,0,True,False,False,True,False,400,12,1,0,True,False,False,False
0,39,20,0,1,1,1,0,False,True,False,True,False,780,12,3,0,False,False,True,False
1,14,20,1,0,1,1,0,False,True,True,False,False,280,1,3,0,False,True,False,False
0,52,20,0,1,1,0,0,False,True,True,False,False,1040,1,2,0,False,False,False,True
1,15,75,0,0,1,0,1,False,True,True,False,False,1125,1,2,0,False,True,False,False
0,21,104,1,1,1,0,1,True,False,False,False,True,2184,24,2,0,False,True,False,False
0,52,25,0,1,1,1,0,True,False,True,False,False,1300,1,3,0,False,False,False,True
0,1,44,0,0,1,1,1,False,True,True,False,False,44,1,3,1,True,False,False,False
0,3,69,1,0,1,1,1,False,True,True,False,False,207,1,3,1,True,False,False,False
0,2,55,1,0,1,0,1,True,False,False,True,False,110,12,2,1,True,False,False,False
0,63,41,1,1,0,0,0,True,False,False,False,True,2583,24,1,0,False,False,False,True
0,32,88,1,0,1,0,0,True,False,True,False,False,2816,1,2,0,False,False,True,False
0,71,47,0,0,0,1,0,False,True,False,False,True,3337,24,2,0,False,False,False,True
1,38,75,0,0,1,1,1,False,True,True,False,False,2850,1,3,0,False,False,True,False
0,5,25,0,0,1,1,0,False,True,True,False,False,125,1,3,1,True,False,False,False
0,72,101,1,0,1,1,0,False,True,False,True,False,7272,12,3,0,False,False,False,True
0,35,85,0,0,1,0,1,True,False,False,False,True,2975,24,2,0,False,False,True,False
0,70,77,1,0,1,1,0,False,True,True,False,False,5390,1,3,0,False,False,False,True
0,30,94,0,0,1,0,0,True,False,True,False,False,2820,1,2,0,False,False,True,False
1,71,25,1,0,1,1,0,True,False,False,False,True,1775,24,3,0,False,False,False,True
0,72,99,1,0,1,0,0,True,False,False,True,False,7128,12,2,0,False,False,False,True
0,13,41,1,1,0,0,0,False,True,True,False,False,533,1,1,0,False,True,False,False
0,25,62,1,1,1,0,0,False,True,True,False,False,1550,1,2,0,False,False,True,False
0,60,74,1,1,1,1,0,False,True,True,False,False,4440,1,3,0,False,False,False,True
1,49,102,0,0,1,0,0,False,True,True,False,False,4998,1,2,0,False,False,False,True
0,15,76,0,1,1,1,0,True,False,False,False,True,1140,24,3,0,False,True,False,False
0,34,20,1,0,1,0,0,True,False,True,False,False,680,1,2,0,False,False,True,False
0,71,100,1,1,1,0,0,True,False,True,False,False,7100,1,2,0,False,False,False,True
0,70,114,0,0,1,0,0,True,False,False,True,False,7980,12,2,0,False,False,False,True
0,70,24,0,1,1,0,0,False,True,True,False,False,1680,1,2,0,False,False,False,True
0,1,102,0,1,1,1,1,True,False,False,False,True,102,24,3,1,True,False,False,False
0,1,45,1,1,1,0,0,False,True,True,False,False,45,1,2,1,True,False,False,False
1,3,95,1,0,1,0,0,True,False,False,True,False,285,12,2,1,True,False,False,False
0,1,19,1,0,1,0,1,True,False,True,False,False,19,1,2,1,True,False,False,False
0,60,19,0,1,1,0,0,False,True,False,True,False,1140,12,2,0,False,False,False,True
0,72,24,1,0,1,1,0,False,True,True,False,False,1728,1,3,0,False,False,False,True
1,57,70,0,0,1,0,0,True,False,False,True,False,3990,12,2,0,False,False,False,True
0,35,19,0,0,1,0,0,True,False,True,False,False,665,1,2,0,False,False,True,False
0,72,117,0,0,1,1,0,True,False,False,True,False,8424,12,3,0,False,False,False,True
0,67,53,0,0,0,1,0,False,True,False,False,True,3551,24,2,0,False,False,False,True
0,59,24,0,0,1,1,0,False,True,True,False,False,1416,1,3,0,False,False,False,True
0,29,99,0,0,1,0,1,True,False,True,False,False,2871,1,2,0,False,False,True,False
0,26,45,1,0,0,0,0,True,False,False,False,True,1170,24,1,0,False,False,True,False
0,18,19,0,1,1,1,0,True,False,False,True,False,342,12,3,0,False,True,False,False
0,26,89,0,0,1,1,1,False,True,False,False,True,2314,24,3,0,False,False,True,False
0,3,99,0,0,1,1,1,False,True,False,False,True,297,24,3,1,True,False,False,False
0,26,52,1,0,1,0,0,True,False,False,False,True,1352,24,2,0,False,False,True,False
